,Country of asylum,Recognized,Complementary protection,Rejected,Otherwise closed,Total decisions,Percentage of recognized,Percentage of Complementary protection,Percentage of Rejected,Percentage of closed
0,Afghanistan,189,0,65,234,488,0.38729508196721313,0.0,0.13319672131147542,0.47950819672131145
1,Albania,87,44,15,8003,8149,0.010676156583629894,0.005399435513559946,0.0018407166523499816,0.9820836912504601
2,Algeria,650,0,5950,17158,23758,0.02735920532031316,0.0,0.2504419563936358,0.722198838286051
3,Angola,1613,0,755,4004,6372,0.25313873195229125,0.0,0.11848713119899561,0.6283741368487131
4,Antigua and Barbuda,15,0,0,0,15,1.0,0.0,0.0,0.0
5,Argentina,1577,29,7566,4139,13311,0.11847344301705356,0.002178649237472767,0.5684020734730674,0.3109458342724063
6,Armenia,1329,38,373,672,2412,0.5509950248756219,0.015754560530679935,0.1546434494195688,0.27860696517412936
7,Aruba,0,0,5,0,5,0.0,0.0,1.0,0.0
8,Australia,61826,0,132825,16546,211197,0.2927409006756725,0.0,0.6289151834543104,0.07834391587001709
9,Austria,100376,28763,96063,45430,270632,0.37089479440716544,0.10628085370540069,0.3549580241804369,0.16786632770699694
10,Azerbaijan,827,16,3357,586,4786,0.1727956539908065,0.003343083994985374,0.7014208106978688,0.12244045131633932
11,Bahamas,37,0,102,40,179,0.20670391061452514,0.0,0.5698324022346368,0.22346368715083798
12,Bahrain,361,52,25,155,593,0.6087689713322091,0.08768971332209106,0.04215851602023609,0.26138279932546377
13,Bangladesh,67,0,35,111,213,0.3145539906103286,0.0,0.1643192488262911,0.5211267605633803
14,Belarus,156,3822,1149,977,6104,0.025557011795543906,0.6261467889908257,0.18823722149410224,0.16005897771952818
15,Belgium,63129,18037,164611,30881,276658,0.22818425637429607,0.06519601818852157,0.59499815656876,0.11162156886842238
16,Belize,63,5,143,1850,2061,0.03056768558951965,0.0024260067928190197,0.06938379427462397,0.8976225133430373
17,Benin,1570,0,606,395,2571,0.6106573317775185,0.0,0.23570595099183198,0.15363671723064956
18,Bolivia (Plurinational State of),98,10,601,331,1040,0.09423076923076923,0.009615384615384616,0.5778846153846153,0.31826923076923075
19,Bosnia and Herzegovina,10,139,576,2134,2859,0.003497726477789437,0.04861839804127317,0.20146904512067157,0.7464148303602658
20,Botswana,524,5,975,219,1723,0.3041207196749855,0.002901915264074289,0.5658734764944864,0.12710388856645385
21,Brazil,28872,799,10235,15669,55575,0.5195141700404858,0.014376968061178587,0.1841655420602789,0.2819433198380567
22,British Virgin Islands,0,0,0,32,32,0.0,0.0,0.0,1.0
23,Bulgaria,12452,7535,8759,36674,65420,0.19033934576582084,0.11517884439009478,0.13388871904616326,0.5605930907979211
24,Burkina Faso,418,10,32,972,1432,0.2918994413407821,0.006983240223463687,0.0223463687150838,0.6787709497206704
25,Burundi,66850,422,2930,16060,86262,0.7749646426004498,0.004892072986946744,0.03396628874823213,0.18617699566437135
26,Cambodia,70,0,160,228,458,0.15283842794759825,0.0,0.34934497816593885,0.4978165938864629
27,Cameroon,22348,0,6333,16281,44962,0.49704194653262757,0.0,0.1408522752546595,0.36210577821271295
28,Canada,140856,0,127555,42003,310414,0.4537681934448833,0.0,0.4109189662837372,0.13531284027137952
29,Cayman Islands,41,0,277,15,333,0.12312312312312312,0.0,0.8318318318318318,0.04504504504504504
30,Central African Rep.,648,59,2480,391,3578,0.1811067635550587,0.016489659027389605,0.6931246506428173,0.10927892677473448
31,Chad,13676,0,166,2438,16280,0.84004914004914,0.0,0.010196560196560197,0.14975429975429974
32,Chile,522,82,1955,5814,8373,0.06234324614833393,0.009793383494565867,0.23348859429117402,0.6943747760659262
33,China,513,5,1212,1472,3202,0.16021236727045596,0.001561524047470331,0.37851342910680824,0.45971267957526546
34,"China, Hong Kong SAR",281,5,2960,2185,5431,0.05174001104768919,0.0009206407659731173,0.5450193334560854,0.40232001473025225
35,"China, Macao SAR",10,0,10,15,35,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855
36,Colombia,501,0,739,6172,7412,0.06759309228278468,0.0,0.09970318402590395,0.8327037236913114
37,Congo,2883,44,1167,9351,13445,0.21442915582000743,0.0032725920416511716,0.08679806619561176,0.6955001859427297
38,Costa Rica,4022,0,16826,15653,36501,0.11018876195172735,0.0,0.46097367195419303,0.42883756609407964
39,Cote d'Ivoire,915,0,772,878,2565,0.3567251461988304,0.0,0.30097465886939573,0.3423001949317739
