Year,Female 0 — 4,Female 5 — 11,Female 12 — 17,Female 18 — 59,Female 60,Female total,Male 0 — 4,Male 5 — 11,Male 12 — 17,Male 18 — 59,Male 60,Male total,Total
2009,295776,703,814,1849612,185721,3739832,308975,688,813,2175511,198257,4194480,7934312
2010,387148,914,1035,1626696,176750,3660840,401939,941,1039,1880530,145406,4066488,7727328
2011,436941,914,1095,1653657,179534,3777958,456281,904,1053,1806012,180037,4089944,7868215
2012,425472,661363,466480,1588435,153902,3774408,438510,676299,513786,1776665,161741,4115590,7889998
2013,514561,777595,532235,1693628,134516,4072879,531137,797546,574685,1786236,138891,4313082,8385961
2014,602856,950716,676790,2036845,155637,5038292,623553,984181,728219,2066089,157676,5187389,10225681
2015,623505,1004640,692570,2100049,159662,5139573,640058,1037505,743203,2174168,160261,5757381,10896954
2016,670964,1019592,676846,2099669,169085,5107166,692105,1055786,727187,2182587,167141,5333743,10440909
2017,882102,1268610,869125,2586920,207362,6139391,905120,1315156,909720,2716598,195432,6442255,12581646
2018,1197808,1677196,1065450,3646773,296180,8041545,1243893,1747364,1155747,3977378,276029,8626826,16668384
2019,1184918,1665916,1066639,3644554,280914,8031484,1226828,1734756,1146564,3959445,273668,8594363,16727147
