Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
2009,Afghanistan,AFG,Afghanistan,AFG,297000
2009,Armenia,ARM,Armenia,ARM,8400
2009,Azerbaijan,AZE,Azerbaijan,AZE,586000
2009,Burundi,BDI,Burundi,BDI,100000
2009,Bangladesh,BGD,Bangladesh,BGD,426000
2009,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,114000
2009,Central African Rep.,CAF,Central African Rep.,CAF,162000
2009,Chad,TCD,Chad,TCD,168000
2009,Congo,COG,Congo,COG,7800
2009,Dem. Rep. of the Congo,COD,Dem. Rep. of the Congo,COD,1900000
2009,Colombia,COL,Colombia,COL,4916000
2009,Cyprus,CYP,Cyprus,CYP,201000
2009,Eritrea,ERI,Eritrea,ERI,10000
2009,Ethiopia,ETH,Ethiopia,ETH,350000
2009,Palestinian,PSE,State of Palestine,PSE,160000
2009,Georgia,GEO,Georgia,GEO,240000
2009,Croatia,HRV,Croatia,HRV,2400
2009,Cote d'Ivoire,CIV,Cote d'Ivoire,CIV,342000
2009,India,IND,India,IND,500000
2009,Indonesia,IDN,Indonesia,IDN,70000
2009,Iraq,IRQ,Iraq,IRQ,2764000
2009,Kenya,KEN,Kenya,KEN,250000
2009,Liberia,LBR,Liberia,LBR,23000
2009,Lebanon,LBN,Lebanon,LBN,90000
2009,Sri Lanka,LKA,Sri Lanka,LKA,400000
2009,North Macedonia,MKD,North Macedonia,MKD,640
2009,Mexico,MEX,Mexico,MEX,8000
2009,Myanmar,MMR,Myanmar,MMR,470000
2009,Nepal,NPL,Nepal,NPL,60000
2009,Niger,NER,Niger,NER,11000
2009,Pakistan,PAK,Pakistan,PAK,1230000
2009,Peru,PER,Peru,PER,150000
2009,Philippines,PHL,Philippines,PHL,125000
2009,Russian Federation,RUS,Russian Federation,RUS,80000
2009,Serbia and Kosovo: S/RES/1244 (1999),SRB,Serbia and Kosovo: S/RES/1244 (1999),SRB,245000
2009,Senegal,SEN,Senegal,SEN,24000
2009,Somalia,SOM,Somalia,SOM,1500000
2009,Sudan,SDN,Sudan,SDN,4900000
2009,Syrian Arab Rep.,SYR,Syrian Arab Rep.,SYR,433000
2009,Turkmenistan,TKM,Turkmenistan,TKM,4000
2009,Timor-Leste,TLS,Timor-Leste,TLS,400
2009,Togo,TGO,Togo,TGO,10000
2009,Turkey,TUR,Turkey,TUR,1000000
2009,Uganda,UGA,Uganda,UGA,435000
2009,Uzbekistan,UZB,Uzbekistan,UZB,3400
2009,Yemen,YEM,Yemen,YEM,175000
2010,Afghanistan,AFG,Afghanistan,AFG,352000
