,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,Segment
46325,2019,Pakistan,PAK,Afghanistan,AFG,72191.0,138.0,0.0,,0.0,0.0,Origin
46363,2019,Western Sahara,ESH,Algeria,DZA,90000.0,0.0,0.0,,0.0,0.0,Origin
46397,2019,Palestinian,PSE,Egypt,EGY,70010.0,0.0,0.0,,0.0,0.0,Origin
46414,2019,Syrian Arab Rep.,SYR,Egypt,EGY,129210.0,0.0,0.0,,0.0,0.0,Origin
46710,2019,Syrian Arab Rep.,SYR,Austria,AUT,51955.0,1304.0,0.0,,0.0,0.0,Origin
46749,2019,Dem. Rep. of the Congo,COD,Burundi,BDI,77807.0,8204.0,0.0,,0.0,57.0,Origin
46887,2019,Myanmar,MMR,Bangladesh,BGD,854764.0,0.0,0.0,,0.0,0.0,Origin
47351,2019,Central African Rep.,CAF,Chad,TCD,93711.0,1563.0,0.0,,0.0,0.0,Origin
47365,2019,Sudan,SDN,Chad,TCD,335246.0,1805.0,0.0,,0.0,0.0,Origin
47388,2019,Viet Nam,VNM,China,CHN,303095.0,0.0,0.0,,0.0,0.0,Origin
47431,2019,Central African Rep.,CAF,Cameroon,CMR,292767.0,7398.0,0.0,,0.0,0.0,Origin
47448,2019,Nigeria,NGA,Cameroon,CMR,110627.0,54.0,0.0,,0.0,7.0,Origin
47477,2019,Central African Rep.,CAF,Dem. Rep. of the Congo,COD,171234.0,632.0,0.0,,0.0,0.0,Origin
47491,2019,Rwanda,RWA,Dem. Rep. of the Congo,COD,214989.0,133.0,0.0,,0.0,0.0,Origin
47494,2019,South Sudan,SSD,Dem. Rep. of the Congo,COD,88717.0,10.0,0.0,,0.0,0.0,Origin
47790,2019,Colombia,COL,Ecuador,ECU,102928.0,9918.0,0.0,,0.0,0.0,Origin
47866,2019,Eritrea,ERI,Ethiopia,ETH,158596.0,94.0,0.0,,0.0,0.0,Origin
47874,2019,Somalia,SOM,Ethiopia,ETH,192181.0,55.0,0.0,,0.0,0.0,Origin
47876,2019,South Sudan,SSD,Ethiopia,ETH,334014.0,168.0,0.0,,0.0,0.0,Origin
48095,2019,Unknown ,,France,FRA,101068.0,1496.0,0.0,,0.0,0.0,Origin
48295,2019,Afghanistan,AFG,Germany,DEU,140366.0,47343.0,0.0,,0.0,0.0,Origin
48336,2019,Eritrea,ERI,Germany,DEU,58569.0,4757.0,0.0,,0.0,0.0,Origin
48358,2019,Iraq,IRQ,Germany,DEU,141650.0,34890.0,0.0,,0.0,0.0,Origin
48427,2019,Syrian Arab Rep.,SYR,Germany,DEU,572818.0,41280.0,0.0,,0.0,0.0,Origin
48773,2019,China,CHN,India,IND,108008.0,0.0,0.0,,0.0,0.0,Origin
48787,2019,Sri Lanka,LKA,India,IND,59428.0,0.0,0.0,,0.0,0.0,Origin
48933,2019,Afghanistan,AFG,Iran (Islamic Rep. of),IRN,951142.0,0.0,0.0,,0.0,0.0,Origin
48956,2019,Syrian Arab Rep.,SYR,Iraq,IRQ,245810.0,0.0,0.0,,0.0,0.0,Origin
49185,2019,Syrian Arab Rep.,SYR,Jordan,JOR,654692.0,0.0,0.0,,0.0,0.0,Origin
49235,2019,Somalia,SOM,Kenya,KEN,257766.0,6499.0,0.0,,0.0,0.0,Origin
49237,2019,South Sudan,SSD,Kenya,KEN,121410.0,143.0,0.0,,0.0,0.0,Origin
49410,2019,Syrian Arab Rep.,SYR,Lebanon,LBN,910586.0,0.0,0.0,,0.0,1932.0,Origin
49576,2019,Mali,MLI,Mauritania,MRT,57392.0,165.0,0.0,,0.0,0.0,Origin
49738,2019,Myanmar,MMR,Malaysia,MYS,119230.0,34546.0,0.0,,0.0,0.0,Origin
50048,2019,Mali,MLI,Niger,NER,58000.0,74.0,0.0,,0.0,0.0,Origin
50050,2019,Nigeria,NGA,Niger,NER,120621.0,34700.0,0.0,,0.0,0.0,Origin
50068,2019,Cameroon,CMR,Nigeria,NGA,52066.0,424.0,0.0,,0.0,0.0,Origin
50238,2019,Afghanistan,AFG,Pakistan,PAK,1419084.0,8406.0,0.0,,0.0,0.0,Origin
50616,2019,Burundi,BDI,Rwanda,RWA,71488.0,77.0,0.0,,0.0,1767.0,Origin
50619,2019,Dem. Rep. of the Congo,COD,Rwanda,RWA,73408.0,228.0,0.0,,0.0,2630.0,Origin
50834,2019,Eritrea,ERI,Sudan,SDN,112904.0,7425.0,0.0,,0.0,49.0,Origin
50841,2019,South Sudan,SSD,Sudan,SDN,810917.0,0.0,0.0,,0.0,0.0,Origin
50842,2019,Syrian Arab Rep.,SYR,Sudan,SDN,93495.0,0.0,0.0,,0.0,0.0,Origin
50857,2019,Sudan,SDN,South Sudan,SSD,275563.0,13.0,0.0,,0.0,0.0,Origin
51027,2019,Syrian Arab Rep.,SYR,Sweden,SWE,113418.0,2226.0,0.0,,0.0,0.0,Origin
51187,2019,Burundi,BDI,United Rep. of Tanzania,TZA,192231.0,12059.0,0.0,,0.0,14963.0,Origin
51218,2019,Myanmar,MMR,Thailand,THA,93335.0,13.0,0.0,,0.0,119.0,Origin
51313,2019,Syrian Arab Rep.,SYR,Turkey,TUR,3576370.0,0.0,0.0,,0.0,0.0,Origin
51343,2019,Dem. Rep. of the Congo,COD,Uganda,UGA,394037.0,3601.0,0.0,,0.0,0.0,Origin
51355,2019,South Sudan,SSD,Uganda,UGA,861452.0,138.0,0.0,,0.0,0.0,Origin
51482,2019,China,CHN,United States of America,USA,78752.0,68794.0,0.0,,0.0,0.0,Origin
51639,2019,Colombia,COL,Venezuela (Bolivarian Republic of),VEN,67622.0,49.0,0.0,,0.0,0.0,Origin
51667,2019,Somalia,SOM,Yemen,YEM,252899.0,155.0,0.0,,0.0,0.0,Origin
46325,2019,Pakistan,PAK,Afghanistan,AFG,72191.0,138.0,0.0,,0.0,0.0,asylum
46363,2019,Western Sahara,ESH,Algeria,DZA,90000.0,0.0,0.0,,0.0,0.0,asylum
46397,2019,Palestinian,PSE,Egypt,EGY,70010.0,0.0,0.0,,0.0,0.0,asylum
46414,2019,Syrian Arab Rep.,SYR,Egypt,EGY,129210.0,0.0,0.0,,0.0,0.0,asylum
46710,2019,Syrian Arab Rep.,SYR,Austria,AUT,51955.0,1304.0,0.0,,0.0,0.0,asylum
46749,2019,Dem. Rep. of the Congo,COD,Burundi,BDI,77807.0,8204.0,0.0,,0.0,57.0,asylum
46887,2019,Myanmar,MMR,Bangladesh,BGD,854764.0,0.0,0.0,,0.0,0.0,asylum
47351,2019,Central African Rep.,CAF,Chad,TCD,93711.0,1563.0,0.0,,0.0,0.0,asylum
47365,2019,Sudan,SDN,Chad,TCD,335246.0,1805.0,0.0,,0.0,0.0,asylum
47388,2019,Viet Nam,VNM,China,CHN,303095.0,0.0,0.0,,0.0,0.0,asylum
47431,2019,Central African Rep.,CAF,Cameroon,CMR,292767.0,7398.0,0.0,,0.0,0.0,asylum
47448,2019,Nigeria,NGA,Cameroon,CMR,110627.0,54.0,0.0,,0.0,7.0,asylum
47477,2019,Central African Rep.,CAF,Dem. Rep. of the Congo,COD,171234.0,632.0,0.0,,0.0,0.0,asylum
47491,2019,Rwanda,RWA,Dem. Rep. of the Congo,COD,214989.0,133.0,0.0,,0.0,0.0,asylum
47494,2019,South Sudan,SSD,Dem. Rep. of the Congo,COD,88717.0,10.0,0.0,,0.0,0.0,asylum
47790,2019,Colombia,COL,Ecuador,ECU,102928.0,9918.0,0.0,,0.0,0.0,asylum
47866,2019,Eritrea,ERI,Ethiopia,ETH,158596.0,94.0,0.0,,0.0,0.0,asylum
47874,2019,Somalia,SOM,Ethiopia,ETH,192181.0,55.0,0.0,,0.0,0.0,asylum
47876,2019,South Sudan,SSD,Ethiopia,ETH,334014.0,168.0,0.0,,0.0,0.0,asylum
48095,2019,Unknown ,,France,FRA,101068.0,1496.0,0.0,,0.0,0.0,asylum
48295,2019,Afghanistan,AFG,Germany,DEU,140366.0,47343.0,0.0,,0.0,0.0,asylum
48336,2019,Eritrea,ERI,Germany,DEU,58569.0,4757.0,0.0,,0.0,0.0,asylum
48358,2019,Iraq,IRQ,Germany,DEU,141650.0,34890.0,0.0,,0.0,0.0,asylum
48427,2019,Syrian Arab Rep.,SYR,Germany,DEU,572818.0,41280.0,0.0,,0.0,0.0,asylum
