,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,Type
46322,2019,Afghanistan,AFG,Afghanistan,AFG,0.0,0.0,2553390.0,,0.0,447093.0,Origin
46334,2019,Syrian Arab Rep.,SYR,Albania,ALB,13.0,0.0,0.0,,0.0,29.0,Origin
46360,2019,Syrian Arab Rep.,SYR,Algeria,DZA,7757.0,0.0,0.0,,0.0,0.0,Origin
46380,2019,Somalia,SOM,Angola,AGO,270.0,1731.0,0.0,,0.0,16.0,Origin
46386,2019,Afghanistan,AFG,Egypt,EGY,28.0,36.0,0.0,,0.0,0.0,Origin
46411,2019,Somalia,SOM,Egypt,EGY,3973.0,2729.0,0.0,,0.0,0.0,Origin
46413,2019,South Sudan,SSD,Egypt,EGY,14832.0,4183.0,0.0,,0.0,0.0,Origin
46414,2019,Syrian Arab Rep.,SYR,Egypt,EGY,129210.0,0.0,0.0,,0.0,0.0,Origin
46426,2019,Afghanistan,AFG,Argentina,ARG,12.0,0.0,0.0,,0.0,0.0,Origin
46486,2019,Somalia,SOM,Argentina,ARG,5.0,0.0,0.0,,0.0,0.0,Origin
46489,2019,Syrian Arab Rep.,SYR,Argentina,ARG,401.0,73.0,0.0,,0.0,443.0,Origin
46496,2019,Afghanistan,AFG,Armenia,ARM,5.0,0.0,0.0,,0.0,0.0,Origin
46508,2019,Syrian Arab Rep.,SYR,Armenia,ARM,14730.0,16.0,0.0,,0.0,0.0,Origin
46513,2019,Afghanistan,AFG,Australia,AUS,12714.0,1710.0,0.0,,0.0,0.0,Origin
46588,2019,Myanmar,MMR,Australia,AUS,1723.0,223.0,0.0,,0.0,0.0,Origin
46611,2019,Somalia,SOM,Australia,AUS,539.0,101.0,0.0,,0.0,0.0,Origin
46615,2019,South Sudan,SSD,Australia,AUS,17.0,40.0,0.0,,0.0,0.0,Origin
46618,2019,Syrian Arab Rep.,SYR,Australia,AUS,2239.0,81.0,0.0,,0.0,0.0,Origin
46639,2019,Afghanistan,AFG,Austria,AUT,37276.0,10326.0,0.0,,0.0,0.0,Origin
46692,2019,Myanmar,MMR,Austria,AUT,34.0,5.0,0.0,,0.0,0.0,Origin
46706,2019,Somalia,SOM,Austria,AUT,7636.0,911.0,0.0,,0.0,0.0,Origin
46709,2019,South Sudan,SSD,Austria,AUT,6.0,0.0,0.0,,0.0,0.0,Origin
46710,2019,Syrian Arab Rep.,SYR,Austria,AUT,51955.0,1304.0,0.0,,0.0,0.0,Origin
46726,2019,Afghanistan,AFG,Azerbaijan,AZE,627.0,94.0,0.0,,0.0,0.0,Origin
46736,2019,Syrian Arab Rep.,SYR,Azerbaijan,AZE,20.0,0.0,0.0,,0.0,0.0,Origin
46754,2019,Somalia,SOM,Burundi,BDI,23.0,0.0,0.0,,0.0,0.0,Origin
46760,2019,Afghanistan,AFG,Belgium,BEL,5070.0,1035.0,0.0,,0.0,0.0,Origin
46830,2019,Myanmar,MMR,Belgium,BEL,8.0,0.0,0.0,,0.0,0.0,Origin
46847,2019,Somalia,SOM,Belgium,BEL,2097.0,310.0,0.0,,0.0,0.0,Origin
46850,2019,South Sudan,SSD,Belgium,BEL,5.0,5.0,0.0,,0.0,0.0,Origin
46851,2019,Syrian Arab Rep.,SYR,Belgium,BEL,16604.0,1019.0,0.0,,0.0,0.0,Origin
46883,2019,Syrian Arab Rep.,SYR,Benin,BEN,12.0,13.0,0.0,,0.0,0.0,Origin
46887,2019,Myanmar,MMR,Bangladesh,BGD,854764.0,0.0,0.0,,0.0,0.0,Origin
46888,2019,Somalia,SOM,Bangladesh,BGD,10.0,14.0,0.0,,0.0,0.0,Origin
46905,2019,South Sudan,SSD,Burkina Faso,BFA,0.0,5.0,0.0,,0.0,0.0,Origin
46906,2019,Syrian Arab Rep.,SYR,Burkina Faso,BFA,5.0,0.0,0.0,,0.0,0.0,Origin
46909,2019,Afghanistan,AFG,Belarus,BLR,213.0,15.0,0.0,,0.0,0.0,Origin
46921,2019,Syrian Arab Rep.,SYR,Belarus,BLR,68.0,0.0,0.0,,0.0,0.0,Origin
46937,2019,Syrian Arab Rep.,SYR,Bolivia (Plurinational State of),BOL,21.0,0.0,0.0,,0.0,0.0,Origin
46949,2019,Somalia,SOM,Botswana,BWA,299.0,36.0,0.0,,0.0,0.0,Origin
46953,2019,Afghanistan,AFG,Brazil,BRA,132.0,185.0,0.0,,0.0,0.0,Origin
47038,2019,Myanmar,MMR,Brazil,BRA,0.0,5.0,0.0,,0.0,0.0,Origin
47063,2019,Somalia,SOM,Brazil,BRA,48.0,570.0,0.0,,0.0,0.0,Origin
47071,2019,Syrian Arab Rep.,SYR,Brazil,BRA,3761.0,4242.0,0.0,,0.0,0.0,Origin
47092,2019,Afghanistan,AFG,Bosnia and Herzegovina,BIH,0.0,134.0,0.0,,0.0,902.0,Origin
47112,2019,Somalia,SOM,Bosnia and Herzegovina,BIH,0.0,5.0,0.0,,0.0,5.0,Origin
47114,2019,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,21.0,46.0,0.0,,0.0,148.0,Origin
47120,2019,Afghanistan,AFG,Bulgaria,BGR,243.0,300.0,0.0,,0.0,0.0,Origin
47144,2019,Somalia,SOM,Bulgaria,BGR,50.0,5.0,0.0,,0.0,0.0,Origin
47146,2019,Syrian Arab Rep.,SYR,Bulgaria,BGR,17551.0,297.0,0.0,,0.0,0.0,Origin
47161,2019,Afghanistan,AFG,Canada,CAN,2447.0,620.0,0.0,,0.0,0.0,Origin
47271,2019,Myanmar,MMR,Canada,CAN,0.0,14.0,0.0,,0.0,0.0,Origin
47299,2019,Somalia,SOM,Canada,CAN,2253.0,621.0,0.0,,0.0,0.0,Origin
47305,2019,South Sudan,SSD,Canada,CAN,6.0,23.0,0.0,,0.0,0.0,Origin
47310,2019,Syrian Arab Rep.,SYR,Canada,CAN,5.0,303.0,0.0,,0.0,0.0,Origin
47345,2019,South Sudan,SSD,Central African Rep.,CAF,2235.0,0.0,0.0,,0.0,0.0,Origin
47364,2019,Somalia,SOM,Chad,TCD,7.0,0.0,0.0,,0.0,0.0,Origin
47366,2019,South Sudan,SSD,Chad,TCD,9.0,0.0,0.0,,0.0,0.0,Origin
47367,2019,Syrian Arab Rep.,SYR,Chad,TCD,35.0,10.0,0.0,,0.0,0.0,Origin
47369,2019,Afghanistan,AFG,China,CHN,21.0,21.0,0.0,,0.0,0.0,Origin
47387,2019,Somalia,SOM,China,CHN,106.0,17.0,0.0,,0.0,0.0,Origin
47389,2019,Syrian Arab Rep.,SYR,China,CHN,50.0,13.0,0.0,,0.0,0.0,Origin
47395,2019,Afghanistan,AFG,Chile,CHL,13.0,13.0,0.0,,0.0,0.0,Origin
47422,2019,Syrian Arab Rep.,SYR,Chile,CHL,112.0,33.0,0.0,,0.0,0.0,Origin
47453,2019,South Sudan,SSD,Cameroon,CMR,13.0,5.0,0.0,,0.0,0.0,Origin
47454,2019,Syrian Arab Rep.,SYR,Cameroon,CMR,24.0,5.0,0.0,,0.0,0.0,Origin
47474,2019,Syrian Arab Rep.,SYR,Congo,COG,0.0,13.0,0.0,,0.0,0.0,Origin
47492,2019,Somalia,SOM,Dem. Rep. of the Congo,COD,16.0,51.0,0.0,,0.0,0.0,Origin
47494,2019,South Sudan,SSD,Dem. Rep. of the Congo,COD,88717.0,10.0,0.0,,0.0,0.0,Origin
47495,2019,Syrian Arab Rep.,SYR,Dem. Rep. of the Congo,COD,5.0,26.0,0.0,,0.0,0.0,Origin
47497,2019,Afghanistan,AFG,Colombia,COL,9.0,0.0,0.0,,0.0,0.0,Origin
47516,2019,Somalia,SOM,Colombia,COL,11.0,0.0,0.0,,0.0,0.0,Origin
47517,2019,Syrian Arab Rep.,SYR,Colombia,COL,8.0,10.0,0.0,,0.0,0.0,Origin
47565,2019,Somalia,SOM,Costa Rica,CRI,7.0,5.0,0.0,,0.0,0.0,Origin
47567,2019,Syrian Arab Rep.,SYR,Costa Rica,CRI,5.0,24.0,0.0,,0.0,0.0,Origin
47575,2019,Afghanistan,AFG,Cuba,CUB,36.0,0.0,0.0,,0.0,0.0,Origin
47582,2019,Syrian Arab Rep.,SYR,Cuba,CUB,40.0,0.0,0.0,,0.0,0.0,Origin
47586,2019,Afghanistan,AFG,Cyprus,CYP,14.0,5.0,0.0,,0.0,0.0,Origin
47632,2019,Somalia,SOM,Cyprus,CYP,221.0,369.0,0.0,,0.0,0.0,Origin
47635,2019,Syrian Arab Rep.,SYR,Cyprus,CYP,7372.0,4073.0,0.0,,0.0,4000.0,Origin
47646,2019,Afghanistan,AFG,Czechia,CZE,45.0,14.0,0.0,,0.0,0.0,Origin
47674,2019,Myanmar,MMR,Czechia,CZE,145.0,0.0,0.0,,0.0,0.0,Origin
47681,2019,Somalia,SOM,Czechia,CZE,14.0,0.0,0.0,,0.0,0.0,Origin
47684,2019,Syrian Arab Rep.,SYR,Czechia,CZE,408.0,18.0,0.0,,0.0,0.0,Origin
47696,2019,Afghanistan,AFG,Denmark,DNK,2620.0,79.0,0.0,,0.0,0.0,Origin
47733,2019,Myanmar,MMR,Denmark,DNK,28.0,11.0,0.0,,0.0,0.0,Origin
47741,2019,Somalia,SOM,Denmark,DNK,1308.0,150.0,0.0,,0.0,0.0,Origin
47743,2019,Syrian Arab Rep.,SYR,Denmark,DNK,20046.0,210.0,0.0,,0.0,0.0,Origin
47764,2019,Somalia,SOM,Djibouti,DJI,13277.0,119.0,0.0,,0.0,0.0,Origin
47766,2019,Syrian Arab Rep.,SYR,Djibouti,DJI,10.0,0.0,0.0,,0.0,0.0,Origin
47768,2019,Afghanistan,AFG,Dominican Rep.,DOM,0.0,10.0,0.0,,0.0,0.0,Origin
47777,2019,Afghanistan,AFG,Ecuador,ECU,150.0,5.0,0.0,,0.0,0.0,Origin
47823,2019,Somalia,SOM,Ecuador,ECU,8.0,0.0,0.0,,0.0,0.0,Origin
47827,2019,Syrian Arab Rep.,SYR,Ecuador,ECU,146.0,38.0,0.0,,0.0,0.0,Origin
47839,2019,Somalia,SOM,Eritrea,ERI,78.0,0.0,0.0,,0.0,0.0,Origin
