,Year,variable,value
0,2009,Refugees under UNHCR’s mandate,10395724
1,2010,Refugees under UNHCR’s mandate,10548848
2,2011,Refugees under UNHCR’s mandate,10403951
3,2012,Refugees under UNHCR’s mandate,10497028
4,2013,Refugees under UNHCR’s mandate,11698238
5,2014,Refugees under UNHCR’s mandate,14384302
6,2015,Refugees under UNHCR’s mandate,16110280
7,2016,Refugees under UNHCR’s mandate,17184291
8,2017,Refugees under UNHCR’s mandate,19940568
9,2018,Refugees under UNHCR’s mandate,20359556
10,2019,Refugees under UNHCR’s mandate,20444819
11,2009,Asylum-seekers,987875
12,2010,Asylum-seekers,835871
13,2011,Asylum-seekers,895604
14,2012,Asylum-seekers,941455
15,2013,Asylum-seekers,1162819
16,2014,Asylum-seekers,1794615
17,2015,Asylum-seekers,3223302
18,2016,Asylum-seekers,2729357
19,2017,Asylum-seekers,3089378
20,2018,Asylum-seekers,3501521
21,2019,Asylum-seekers,4148010
22,2009,IDPs of concern to UNHCR,15628057
23,2010,IDPs of concern to UNHCR,14697804
24,2011,IDPs of concern to UNHCR,15473378
25,2012,IDPs of concern to UNHCR,17670368
26,2013,IDPs of concern to UNHCR,23925555
27,2014,IDPs of concern to UNHCR,32274619
28,2015,IDPs of concern to UNHCR,37494172
29,2016,IDPs of concern to UNHCR,36627127
30,2017,IDPs of concern to UNHCR,39118516
31,2018,IDPs of concern to UNHCR,41425168
32,2019,IDPs of concern to UNHCR,43503362
33,2009,Venezuelans displaced abroad,0
34,2010,Venezuelans displaced abroad,0
35,2011,Venezuelans displaced abroad,0
36,2012,Venezuelans displaced abroad,0
37,2013,Venezuelans displaced abroad,0
38,2014,Venezuelans displaced abroad,0
39,2015,Venezuelans displaced abroad,0
40,2016,Venezuelans displaced abroad,0
41,2017,Venezuelans displaced abroad,0
42,2018,Venezuelans displaced abroad,2592947
43,2019,Venezuelans displaced abroad,3582202
44,2009,Palestine refugees under UNRWA's mandate,4766670
45,2010,Palestine refugees under UNRWA's mandate,4691079
46,2011,Palestine refugees under UNRWA's mandate,4797723
47,2012,Palestine refugees under UNRWA's mandate,4919917
48,2013,Palestine refugees under UNRWA's mandate,5030049
49,2014,Palestine refugees under UNRWA's mandate,5149742
50,2015,Palestine refugees under UNRWA's mandate,5241257
51,2016,Palestine refugees under UNRWA's mandate,5340443
52,2017,Palestine refugees under UNRWA's mandate,5442947
53,2018,Palestine refugees under UNRWA's mandate,5545540
54,2019,Palestine refugees under UNRWA's mandate,5629829
